submitted_on,waterpoint_photo,latitude,longitude,functional_status,current_problem,other_current_problem,water_quality_problems_available,available_water_quality_issues,other_water_quality_issues,households_using_waterpoint,water_unavailable_seasonally,water_unavailable_period,service_provider_available,type_of_provider,waterpoint_committee_active
08/04/2022,https://api.mwater.co/v3/images/39c62bbe5d774f35b0214b1069086b62,-14.5156546,35.1931829,Partially functional but in need of repair,Worn out parts,NA,No,NA,NA,6,No,NA,Yes,"Area or Water Mechanic, Unofficial/ Bush Mechanic",NA
08/04/2022,https://api.mwater.co/v3/images/8e02e7f3de0d4ddf919037ebbe5c8b3b,-14.460685,35.14819,Partially functional but in need of repair,Worn out parts,NA,No,NA,NA,60,No,NA,Yes,"Area or Water Mechanic, Water Point Committee",Yes 
08/04/2022,https://api.mwater.co/v3/images/34fc12952d77416fa4353ca14be71f85,-14.5218323,35.2188477,Not functional,Worn out parts,NA,NA,NA,NA,NA,NA,NA,Yes,"Area or Water Mechanic, Water Point Committee",Yes 
08/04/2022,https://api.mwater.co/v3/images/b27cf3f8bff94bfd99a2c3339a8ca796,-14.5149333,35.1931417,Functional,NA,NA,No,NA,NA,20,No,NA,Yes,Water Point Committee,Yes 
08/04/2022,https://api.mwater.co/v3/images/04d2c5eee4884a0eac9c30450c73298d,-14.520846,35.2198638,Functional,NA,NA,No,NA,NA,110,No,NA,Yes,"Area or Water Mechanic, Water Point Committee",Yes 
08/04/2022,https://api.mwater.co/v3/images/51b4f149319142379515336c9d2f968d,-14.5141777,35.1931064,Partially functional but in need of repair,Worn out parts,NA,No,NA,NA,13,No,NA,Yes,Unofficial/ Bush Mechanic,NA
08/04/2022,https://api.mwater.co/v3/images/c4fc19224da441899100cbf8a07e0d05,-14.5136817,35.193845,Partially functional but in need of repair,"Broken parts, Worn out parts",NA,No,NA,NA,10,No,NA,Yes,Area or Water Mechanic,NA
08/04/2022,https://api.mwater.co/v3/images/a23a4c9a5cbb4521bcfc1a9e5401c228,-14.5221299,35.2208788,Partially functional but in need of repair,Worn out parts,NA,Yes,Salinity or salty water,NA,65,No,NA,Yes,"Unofficial/ Bush Mechanic, Water Point Committee",Yes 
08/04/2022,https://api.mwater.co/v3/images/6b9cadf43f0942698d39df9733e8da87,-14.5119576,35.1934781,Partially functional but in need of repair,"Structural problems - Civil works, apron, etc",NA,No,NA,NA,25,No,NA,Yes,Area or Water Mechanic,NA
08/04/2022,https://api.mwater.co/v3/images/4ca35007b5194575a6848647f4816ff6,-14.5212939,35.2193626,Partially functional but in need of repair,"Low water flow - Low water pressure, Worn out parts",NA,Yes,Salinity or salty water,NA,100,Yes,"09, 10, 11",Yes,"Area or Water Mechanic, Water Point Committee",Yes 
08/04/2022,https://api.mwater.co/v3/images/5537b72dfc0f4a8eb419d60f683ad3fe,-14.4555754,35.1511757,Not functional,Broken parts,NA,NA,NA,NA,NA,NA,NA,Yes,"Area or Water Mechanic, Water Point Committee",Yes 
08/04/2022,https://api.mwater.co/v3/images/7d92a26bb1b64d38b632679b9a18e6cc,-14.4528665,35.1442465,Functional,NA,NA,No,NA,NA,30,No,NA,Yes,Area or Water Mechanic,NA
08/04/2022,https://api.mwater.co/v3/images/d640bb551916492495d6e1b943293d65,-14.5095788,35.192929,Functional,NA,NA,No,NA,NA,13,No,NA,Yes,Area or Water Mechanic,NA
08/04/2022,https://api.mwater.co/v3/images/735649d9343843aa80e0ba01e6f1c928,-14.4564272,35.1423779,Functional,NA,NA,No,NA,NA,150,No,NA,Yes,Area or Water Mechanic,NA
08/04/2022,https://api.mwater.co/v3/images/1fee0894e5524d11b0fdaed67646c8b2,-14.4878622,35.1826407,Functional,NA,NA,No,NA,NA,10,No,NA,Yes,Community members,NA
08/04/2022,https://api.mwater.co/v3/images/68213f521a134f898f0f752737da4452,-14.5106465,35.1930225,Partially functional but in need of repair,"Worn out parts, Structural problems - Civil works, apron, etc",NA,No,NA,NA,19,No,NA,Yes,Area or Water Mechanic,NA
08/04/2022,https://api.mwater.co/v3/images/10c167d52da44730a744a78c2e61e09f,-14.4568588,35.1409123,Functional,NA,NA,No,NA,NA,42,No,NA,Yes,Area or Water Mechanic,NA
08/04/2022,https://api.mwater.co/v3/images/32838fd828a64641bdbab5f2b1ff23e0,-14.5103367,35.1940383,Functional,NA,NA,No,NA,NA,8,No,NA,Yes,Unofficial/ Bush Mechanic,NA
08/04/2022,https://api.mwater.co/v3/images/4755a755af1a467fa947b595e03e8a84,-14.4567892,35.1386446,Partially functional but in need of repair,Worn out parts,NA,No,NA,NA,50,No,NA,Yes,Water Point Committee,Yes 
